종목,테스트,파라미터,시작연도,방향,시대 구간,날짜,종가,등락률(%),당시 순위,사건 번호,z-score,종가 1일,종가 2일,종가 3일,종가 1주,종가 2주,종가 1개월,익일시가 1일
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,2025-04-09,466.0,12.0,4,3,6.99,-4.25,-2.49,-1.83,-4.68,0.29,4.71,-1.63
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,2008-09-29,37.82,-7.94,6,1,-4.43,2.88,1.8,-2.83,-7.83,-7.11,-15.76,3.15
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,2008-10-15,30.6,-8.96,1,1,-3.16,5.42,5.56,8.5,0.03,3.86,-0.46,4.71
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,2020-03-12,177.32,-9.17,1,2,-4.47,8.47,-4.52,2.72,0.19,8.22,14.5,2.82
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,2020-03-16,169.3,-11.98,1,2,-4.59,7.58,4.31,4.94,0.69,13.43,23.7,3.8
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,2008-10-13,35.13,12.16,3,1,5.38,-4.33,-12.89,-8.17,-5.49,-18.33,-14.32,-7.03
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,2008-10-28,31.86,11.05,5,1,3.44,-0.25,3.08,3.23,5.93,-5.52,-7.88,-0.41
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,2020-03-13,192.34,8.47,13,3,3.59,-11.98,-5.3,-8.18,-11.25,-3.66,10.15,-2.78
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,2020-03-17,182.14,7.58,16,3,2.5,-3.04,-2.46,-6.28,0.83,4.53,17.08,2.91
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,2020-03-24,183.66,7.74,16,3,2.38,-0.74,4.49,0.89,3.67,6.94,14.62,-1.15
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,2022-11-10,282.75,7.38,20,4,3.88,1.84,0.95,2.35,0.73,1.47,1.0,1.91
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,2025-04-09,466.0,12.0,4,5,6.99,-4.25,-2.49,-1.83,-4.68,0.29,4.71,-1.63
QQQ,테스트 A(역대급 등락),K=20,2005,폭락,전체,2008-09-29,37.82,-7.94,6,1,-4.43,2.88,1.8,-2.83,-7.83,-7.11,-15.76,3.15
QQQ,테스트 A(역대급 등락),K=20,2005,폭락,전체,2008-10-07,32.65,-6.34,19,1,-2.95,-0.8,-3.46,-4.07,2.94,-3.58,-2.02,1.38
QQQ,테스트 A(역대급 등락),K=20,2005,폭락,전체,2008-10-15,30.6,-8.96,1,1,-3.16,5.42,5.56,8.5,0.03,3.86,-0.46,4.71
QQQ,테스트 A(역대급 등락),K=20,2005,폭락,전체,2008-12-01,26.93,-7.52,11,2,-1.85,3.34,6.28,3.27,11.7,8.28,10.43,1.94
QQQ,테스트 A(역대급 등락),K=20,2005,폭락,전체,2020-03-09,193.57,-6.95,17,3,-4.32,5.45,0.85,-8.39,-12.54,-11.94,1.46,1.49
QQQ,테스트 A(역대급 등락),K=20,2005,폭락,전체,2020-03-12,177.32,-9.17,1,3,-4.47,8.47,-4.52,2.72,0.19,8.22,14.5,2.82
QQQ,테스트 A(역대급 등락),K=20,2005,폭락,전체,2020-03-16,169.3,-11.98,1,3,-4.59,7.58,4.31,4.94,0.69,13.43,23.7,3.8
QQQ,테스트 A(역대급 등락),K=5,2008,폭등,전체,2008-10-13,35.13,12.16,3,1,5.38,-4.33,-12.89,-8.17,-5.49,-18.33,-14.32,-7.03
QQQ,테스트 A(역대급 등락),K=5,2008,폭등,전체,2008-10-28,31.86,11.05,5,1,3.44,-0.25,3.08,3.23,5.93,-5.52,-7.88,-0.41
QQQ,테스트 A(역대급 등락),K=5,2008,폭등,전체,2025-04-09,466.0,12.0,4,3,6.99,-4.25,-2.49,-1.83,-4.68,0.29,4.71,-1.63
QQQ,테스트 A(역대급 등락),K=5,2008,폭락,전체,2008-10-15,30.6,-8.96,1,1,-3.16,5.42,5.56,8.5,0.03,3.86,-0.46,4.71
QQQ,테스트 A(역대급 등락),K=5,2008,폭락,전체,2020-03-12,177.32,-9.17,1,2,-4.47,8.47,-4.52,2.72,0.19,8.22,14.5,2.82
QQQ,테스트 A(역대급 등락),K=5,2008,폭락,전체,2020-03-16,169.3,-11.98,1,2,-4.59,7.58,4.31,4.94,0.69,13.43,23.7,3.8
QQQ,테스트 A(역대급 등락),K=10,2008,폭등,전체,2008-10-13,35.13,12.16,3,1,5.38,-4.33,-12.89,-8.17,-5.49,-18.33,-14.32,-7.03
QQQ,테스트 A(역대급 등락),K=10,2008,폭등,전체,2008-10-28,31.86,11.05,5,1,3.44,-0.25,3.08,3.23,5.93,-5.52,-7.88,-0.41
