대상,격자 칸,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),1차 판정
KODEX 200,15일 → 말일,287,위,58.89,0.46,132.73,57.52,1.37,제외
KODEX 200,15일 → 말일+1,287,위,59.93,0.57,163.63,58.59,1.35,제외
KODEX 200,15일 → 말일+2,287,아래,43.21,-0.65,-185.31,41.69,1.52,제외
KODEX 200,15일 → 말일+3,287,아래,44.25,-0.71,-204.47,43.47,0.78,제외
KODEX 200,15일 → 말일-1,287,위,56.79,0.3,85.89,56.5,0.29,제외
KODEX 200,15일 → 말일-2,287,위,58.89,0.26,73.98,58.0,0.89,제외
KODEX 200,15일 → 말일-3,287,아래,44.25,-0.2,-58.29,42.01,2.24,제외
KODEX 200,16일 → 말일,287,아래,42.51,-0.46,-133.11,41.97,0.54,제외
KODEX 200,16일 → 말일+1,287,위,58.89,0.57,163.23,58.59,0.3,제외
KODEX 200,16일 → 말일+2,287,아래,42.51,-0.65,-185.49,41.69,0.82,제외
KODEX 200,16일 → 말일+3,287,아래,43.55,-0.71,-204.78,43.47,0.09,제외
KODEX 200,16일 → 말일-1,287,위,57.14,0.3,85.02,56.5,0.64,제외
KODEX 200,16일 → 말일-2,287,위,59.23,0.25,72.13,58.0,1.24,제외
KODEX 200,16일 → 말일-3,287,위,57.84,0.2,57.1,57.5,0.34,제외
KODEX 200,17일 → 말일,287,아래,43.55,-0.46,-131.21,41.97,1.59,제외
KODEX 200,17일 → 말일+1,287,아래,41.46,-0.56,-160.97,41.11,0.35,제외
KODEX 200,17일 → 말일+2,287,아래,42.16,-0.64,-183.41,41.69,0.47,제외
KODEX 200,17일 → 말일+3,287,위,57.49,0.71,202.74,56.14,1.35,제외
KODEX 200,17일 → 말일-1,287,아래,43.55,-0.29,-82.73,43.08,0.47,제외
KODEX 200,17일 → 말일-2,287,위,58.54,0.24,69.23,58.0,0.54,제외
KODEX 200,17일 → 말일-3,287,아래,42.16,-0.19,-53.95,42.01,0.15,제외
KODEX 200,18일 → 말일,287,아래,42.51,-0.44,-127.1,41.97,0.54,제외
KODEX 200,18일 → 말일+1,287,아래,42.51,-0.54,-156.15,41.11,1.4,제외
KODEX 200,18일 → 말일+2,287,위,58.19,0.62,178.56,57.99,0.2,제외
KODEX 200,18일 → 말일+3,287,위,57.14,0.69,197.2,56.14,1.0,제외
KODEX 200,18일 → 말일-1,287,위,57.14,0.27,78.46,56.5,0.64,제외
KODEX 200,18일 → 말일-2,287,아래,42.86,-0.23,-64.67,41.74,1.11,제외
KODEX 200,18일 → 말일-3,287,위,58.19,0.17,48.83,57.5,0.69,제외
KODEX 200,19일 → 말일,287,아래,44.25,-0.46,-130.96,41.97,2.29,제외
KODEX 200,19일 → 말일+1,287,아래,43.21,-0.56,-160.27,41.11,2.1,제외
KODEX 200,19일 → 말일+2,287,아래,43.21,-0.64,-182.68,41.69,1.52,제외
KODEX 200,19일 → 말일+3,287,아래,43.9,-0.7,-201.03,43.47,0.43,제외
