지수,짝 종목,배수,롤 규칙,구간,매일 리밸런싱 최대 유효 레버리지,월 1회 최대 유효 레버리지
KOSPI200,122630,2.0,미결제약정 역전,5,2.0,2.8790443006470876
KOSPI200,122630,2.0,미결제약정 역전,10,2.0,3.410721348650384
KOSPI200,122630,2.0,미결제약정 역전,21,2.0,4.427095292766936
KOSPI200,122630,2.0,미결제약정 역전,63,2.0,4.427095292766936
KOSPI200,122630,2.0,미결제약정 역전,126,2.0,4.427095292766936
KOSPI200,122630,2.0,미결제약정 역전,252,2.0,4.427095292766936
KOSPI200,122630,2.0,미결제약정 역전,756,2.0,4.427095292766936
KOSPI200,122630,2.0,만기 전 고정,5,2.0,2.8790443006470876
KOSPI200,122630,2.0,만기 전 고정,10,2.0,3.478643769264643
KOSPI200,122630,2.0,만기 전 고정,21,2.0,4.427095292766936
KOSPI200,122630,2.0,만기 전 고정,63,2.0,4.427095292766936
KOSPI200,122630,2.0,만기 전 고정,126,2.0,4.427095292766936
KOSPI200,122630,2.0,만기 전 고정,252,2.0,4.427095292766936
KOSPI200,122630,2.0,만기 전 고정,756,2.0,4.427095292766936
KOSPI200,114800,-1.0,미결제약정 역전,5,1.0,1.5512615777706802
KOSPI200,114800,-1.0,미결제약정 역전,10,1.0,1.6994725485495088
KOSPI200,114800,-1.0,미결제약정 역전,21,1.0,2.447263939237011
KOSPI200,114800,-1.0,미결제약정 역전,63,1.0,2.447263939237011
KOSPI200,114800,-1.0,미결제약정 역전,126,1.0,2.447263939237011
KOSPI200,114800,-1.0,미결제약정 역전,252,1.0,2.447263939237011
KOSPI200,114800,-1.0,미결제약정 역전,756,1.0,2.447263939237011
KOSPI200,114800,-1.0,만기 전 고정,5,1.0,1.5512615777706802
KOSPI200,114800,-1.0,만기 전 고정,10,1.0,1.7754615842763546
KOSPI200,114800,-1.0,만기 전 고정,21,1.0,2.447263939237011
KOSPI200,114800,-1.0,만기 전 고정,63,1.0,2.447263939237011
KOSPI200,114800,-1.0,만기 전 고정,126,1.0,2.447263939237011
KOSPI200,114800,-1.0,만기 전 고정,252,1.0,2.447263939237011
KOSPI200,114800,-1.0,만기 전 고정,756,1.0,2.447263939237011
KOSPI200,252670,-2.0,미결제약정 역전,5,2.0,4.283068783068783
KOSPI200,252670,-2.0,미결제약정 역전,10,2.0,5.2270255323071275
KOSPI200,252670,-2.0,미결제약정 역전,21,2.0,17.710181136789522
KOSPI200,252670,-2.0,미결제약정 역전,63,2.0,17.710181136789522
KOSPI200,252670,-2.0,미결제약정 역전,126,2.0,17.710181136789522
KOSPI200,252670,-2.0,미결제약정 역전,252,2.0,17.710181136789522
KOSPI200,252670,-2.0,미결제약정 역전,756,2.0,17.710181136789522
KOSPI200,252670,-2.0,만기 전 고정,5,2.0,4.283068783068783
KOSPI200,252670,-2.0,만기 전 고정,10,2.0,5.799610894941631
KOSPI200,252670,-2.0,만기 전 고정,21,2.0,17.710181136789522
KOSPI200,252670,-2.0,만기 전 고정,63,2.0,17.710181136789522
KOSPI200,252670,-2.0,만기 전 고정,126,2.0,17.710181136789522
KOSPI200,252670,-2.0,만기 전 고정,252,2.0,17.710181136789522
KOSPI200,252670,-2.0,만기 전 고정,756,2.0,17.710181136789522
KOSDAQ150,233740,2.0,미결제약정 역전,5,2.0,2.754658385093167
KOSDAQ150,233740,2.0,미결제약정 역전,10,2.0,3.312715494723645
KOSDAQ150,233740,2.0,미결제약정 역전,21,2.0,4.814111261872454
KOSDAQ150,233740,2.0,미결제약정 역전,63,2.0,4.814111261872454
KOSDAQ150,233740,2.0,미결제약정 역전,126,2.0,4.814111261872454
KOSDAQ150,233740,2.0,미결제약정 역전,252,2.0,4.814111261872454
KOSDAQ150,233740,2.0,미결제약정 역전,756,2.0,4.814111261872454
KOSDAQ150,233740,2.0,만기 전 고정,5,2.0,2.754658385093167
KOSDAQ150,233740,2.0,만기 전 고정,10,2.0,3.3414809489575847
KOSDAQ150,233740,2.0,만기 전 고정,21,2.0,4.814111261872454
KOSDAQ150,233740,2.0,만기 전 고정,63,2.0,4.814111261872454
KOSDAQ150,233740,2.0,만기 전 고정,126,2.0,4.814111261872454
KOSDAQ150,233740,2.0,만기 전 고정,252,2.0,4.814111261872454
KOSDAQ150,233740,2.0,만기 전 고정,756,2.0,4.814111261872454
KOSDAQ150,251340,-1.0,미결제약정 역전,5,1.0,1.9528085594191822
KOSDAQ150,251340,-1.0,미결제약정 역전,10,1.0,2.3854961832061057
KOSDAQ150,251340,-1.0,미결제약정 역전,21,1.0,2.3993174061433447
KOSDAQ150,251340,-1.0,미결제약정 역전,63,1.0,2.3993174061433447
KOSDAQ150,251340,-1.0,미결제약정 역전,126,1.0,2.3993174061433447
KOSDAQ150,251340,-1.0,미결제약정 역전,252,1.0,2.3993174061433447
KOSDAQ150,251340,-1.0,미결제약정 역전,756,1.0,2.3993174061433447
KOSDAQ150,251340,-1.0,만기 전 고정,5,1.0,1.9528085594191822
KOSDAQ150,251340,-1.0,만기 전 고정,10,1.0,2.3854961832061057
KOSDAQ150,251340,-1.0,만기 전 고정,21,1.0,2.3993174061433447
KOSDAQ150,251340,-1.0,만기 전 고정,63,1.0,2.3993174061433447
KOSDAQ150,251340,-1.0,만기 전 고정,126,1.0,2.3993174061433447
KOSDAQ150,251340,-1.0,만기 전 고정,252,1.0,2.3993174061433447
KOSDAQ150,251340,-1.0,만기 전 고정,756,1.0,2.3993174061433447
KOSDAQ150,530107,-2.0,미결제약정 역전,5,2.0,7.459222769567597
KOSDAQ150,530107,-2.0,미결제약정 역전,10,2.0,15.527950310558968
KOSDAQ150,530107,-2.0,미결제약정 역전,21,2.0,15.527950310558968
KOSDAQ150,530107,-2.0,미결제약정 역전,63,2.0,15.527950310558968
KOSDAQ150,530107,-2.0,미결제약정 역전,126,2.0,15.527950310558968
KOSDAQ150,530107,-2.0,미결제약정 역전,252,2.0,15.527950310558968
KOSDAQ150,530107,-2.0,미결제약정 역전,756,2.0,15.527950310558968
KOSDAQ150,530107,-2.0,만기 전 고정,5,2.0,7.459222769567597
KOSDAQ150,530107,-2.0,만기 전 고정,10,2.0,15.527950310558968
KOSDAQ150,530107,-2.0,만기 전 고정,21,2.0,15.527950310558968
KOSDAQ150,530107,-2.0,만기 전 고정,63,2.0,15.527950310558968
KOSDAQ150,530107,-2.0,만기 전 고정,126,2.0,15.527950310558968
KOSDAQ150,530107,-2.0,만기 전 고정,252,2.0,15.527950310558968
KOSDAQ150,530107,-2.0,만기 전 고정,756,2.0,15.527950310558968
