종목,테스트,파라미터,시작연도,방향,시대 구간,사건,구간,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%)
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,4,1일,7,0,7,-3.25,-3.04,14.29,85.71,1.84,-11.98,4.47
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,4,2일,7,0,7,-2.09,-2.46,42.86,57.14,4.49,-12.89,5.87
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,4,3일,7,0,7,-2.57,-1.83,42.86,57.14,3.23,-8.18,4.95
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,4,1주,7,0,7,-1.47,0.73,57.14,42.86,5.93,-11.25,5.97
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,4,2주,7,0,7,-2.04,0.29,57.14,42.86,6.94,-18.33,8.38
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,4,1개월,7,0,7,3.62,4.71,71.43,28.57,17.08,-14.32,11.6
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,3,1일,7,0,7,4.62,5.42,85.71,14.29,8.47,-0.8,3.13
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,3,2일,7,0,7,1.54,1.8,71.43,28.57,6.28,-4.52,4.25
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,3,3일,7,0,7,0.59,2.72,57.14,42.86,8.5,-8.39,5.88
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,3,1주,7,0,7,-0.69,0.19,71.43,28.57,11.7,-12.54,7.76
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,3,2주,7,0,7,1.59,3.86,57.14,42.86,13.43,-11.94,9.31
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,3,1개월,7,0,7,4.55,1.46,57.14,42.86,23.7,-15.76,12.85
QQQ,테스트 A(역대급 등락),K=20,2003,역방향 전체,전체,5,1일,14,0,14,3.94,3.8,85.71,14.29,11.98,-1.84,3.77
QQQ,테스트 A(역대급 등락),K=20,2003,역방향 전체,전체,5,2일,14,0,14,1.82,2.13,64.29,35.71,12.89,-4.52,4.93
QQQ,테스트 A(역대급 등락),K=20,2003,역방향 전체,전체,5,3일,14,0,14,1.58,2.27,57.14,42.86,8.5,-8.39,5.32
QQQ,테스트 A(역대급 등락),K=20,2003,역방향 전체,전체,5,1주,14,0,14,0.39,0.11,57.14,42.86,11.7,-12.54,6.74
QQQ,테스트 A(역대급 등락),K=20,2003,역방향 전체,전체,5,2주,14,0,14,1.82,1.69,50.0,50.0,18.33,-11.94,8.51
QQQ,테스트 A(역대급 등락),K=20,2003,역방향 전체,전체,5,1개월,14,0,14,0.46,-0.73,42.86,57.14,23.7,-17.08,12.5
QQQ,테스트 A(역대급 등락),K=5,2005,폭등,전체,2,1일,3,0,3,-2.94,-4.25,0.0,100.0,-0.25,-4.33,2.33
QQQ,테스트 A(역대급 등락),K=5,2005,폭등,전체,2,2일,3,0,3,-4.1,-2.49,33.33,66.67,3.08,-12.89,8.11
QQQ,테스트 A(역대급 등락),K=5,2005,폭등,전체,2,3일,3,0,3,-2.26,-1.83,33.33,66.67,3.23,-8.17,5.71
QQQ,테스트 A(역대급 등락),K=5,2005,폭등,전체,2,1주,3,0,3,-1.41,-4.68,33.33,66.67,5.93,-5.49,6.38
QQQ,테스트 A(역대급 등락),K=5,2005,폭등,전체,2,2주,3,0,3,-7.86,-5.52,33.33,66.67,0.29,-18.33,9.53
QQQ,테스트 A(역대급 등락),K=5,2005,폭등,전체,2,1개월,3,0,3,-5.83,-7.88,33.33,66.67,4.71,-14.32,9.68
QQQ,테스트 A(역대급 등락),K=5,2005,폭락,전체,2,1일,3,0,3,7.16,7.58,100.0,0.0,8.47,5.42,1.57
QQQ,테스트 A(역대급 등락),K=5,2005,폭락,전체,2,2일,3,0,3,1.78,4.31,66.67,33.33,5.56,-4.52,5.5
QQQ,테스트 A(역대급 등락),K=5,2005,폭락,전체,2,3일,3,0,3,5.38,4.94,100.0,0.0,8.5,2.72,2.91
QQQ,테스트 A(역대급 등락),K=5,2005,폭락,전체,2,1주,3,0,3,0.3,0.19,100.0,0.0,0.69,0.03,0.34
QQQ,테스트 A(역대급 등락),K=5,2005,폭락,전체,2,2주,3,0,3,8.5,8.22,100.0,0.0,13.43,3.86,4.79
QQQ,테스트 A(역대급 등락),K=5,2005,폭락,전체,2,1개월,3,0,3,12.58,14.5,66.67,33.33,23.7,-0.46,12.19
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,3,1일,6,0,6,5.05,4.88,100.0,0.0,8.47,0.25,2.91
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,3,2일,6,0,6,2.94,3.4,66.67,33.33,12.89,-4.52,6.32
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,3,3일,6,0,6,3.82,3.83,83.33,16.67,8.5,-3.23,4.4
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,3,1주,6,0,6,0.86,0.44,83.33,16.67,5.49,-5.93,4.08
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,3,2주,6,0,6,8.18,6.87,83.33,16.67,18.33,-0.29,6.75
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,3,1개월,6,0,6,9.2,11.1,66.67,33.33,23.7,-4.71,10.52
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,2,1일,3,0,3,-2.94,-4.25,0.0,100.0,-0.25,-4.33,2.33
