대상,격자 칸,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),우연확률,시기 구간,가장 약한 시기(%),1차 판정,뒷받침,미충족
229200,15일 → 말일,131,아래,49.62,0.11,14.22,48.59,1.03,0.8292,4,46.15,제외,0/3,차이 · 우연확률 · 시기
229200,15일 → 말일+1,131,위,54.2,0.16,21.04,52.48,1.71,0.7233,4,51.67,제외,0/3,차이 · 우연확률 · 시기
229200,15일 → 말일+2,131,아래,48.85,-0.14,-18.83,47.18,1.68,0.7293,4,47.69,제외,0/3,차이 · 우연확률 · 시기
229200,15일 → 말일+3,130,아래,46.15,-0.3,-38.52,45.43,0.73,0.8581,4,44.62,제외,0/3,차이 · 우연확률 · 시기
229200,15일 → 말일-1,131,위,52.67,-0.12,-15.81,51.14,1.53,0.7173,4,50.0,제외,0/3,차이 · 우연확률 · 시기
229200,15일 → 말일-2,131,위,51.91,-0.35,-46.48,49.34,2.57,0.5764,4,48.33,제외,0/3,차이 · 우연확률 · 시기
229200,15일 → 말일-3,131,위,51.15,-0.24,-30.89,50.26,0.89,0.9351,4,46.67,제외,0/3,차이 · 우연확률 · 시기
229200,16일 → 말일,131,아래,48.85,0.22,29.33,48.59,0.27,1.0,4,46.15,제외,0/3,차이 · 우연확률 · 시기
229200,16일 → 말일+1,131,아래,49.62,-0.05,-6.26,47.03,2.59,0.5205,4,47.69,제외,0/3,차이 · 우연확률 · 시기
229200,16일 → 말일+2,131,아래,47.33,-0.03,-3.55,47.18,0.15,1.0,4,46.15,제외,0/3,차이 · 우연확률 · 시기
229200,16일 → 말일+3,130,아래,46.15,-0.18,-23.26,45.43,0.73,0.8581,4,44.62,제외,0/3,차이 · 우연확률 · 시기
229200,16일 → 말일-1,131,아래,48.85,0.24,31.4,48.53,0.32,1.0,4,47.69,제외,0/3,차이 · 우연확률 · 시기
229200,16일 → 말일-2,131,위,52.67,-0.48,-62.3,49.34,3.33,0.4496,4,50.0,제외,0/3,차이 · 우연확률 · 시기
229200,16일 → 말일-3,131,아래,50.38,0.35,46.46,49.19,1.19,0.7922,4,49.23,제외,0/3,차이 · 우연확률 · 시기
229200,17일 → 말일,131,아래,50.38,0.22,29.0,48.59,1.8,0.6873,4,46.15,제외,0/3,차이 · 우연확률 · 시기
229200,17일 → 말일+1,131,아래,48.85,-0.05,-6.96,47.03,1.82,0.6424,4,48.48,제외,0/3,차이 · 우연확률 · 시기
229200,17일 → 말일+2,131,위,54.96,0.03,4.35,52.37,2.59,0.5524,4,53.33,제외,0/3,차이 · 우연확률 · 시기
229200,17일 → 말일+3,130,위,55.38,0.18,23.73,54.42,0.96,0.8631,4,52.54,제외,0/3,차이 · 우연확률 · 시기
229200,17일 → 말일-1,131,아래,48.85,0.24,30.92,48.53,0.32,1.0,4,48.48,제외,0/3,차이 · 우연확률 · 시기
229200,17일 → 말일-2,131,위,53.44,-0.47,-61.49,49.34,4.09,0.3477,4,51.67,제외,0/3,차이 · 우연확률 · 시기
229200,17일 → 말일-3,131,아래,49.62,0.35,45.33,49.19,0.43,0.9421,4,46.97,제외,0/3,차이 · 우연확률 · 시기
229200,18일 → 말일,131,아래,50.38,0.14,18.86,48.59,1.8,0.6873,4,50.0,제외,0/3,차이 · 우연확률 · 시기
229200,18일 → 말일+1,131,아래,51.15,-0.13,-16.58,47.03,4.11,0.3157,4,50.0,제외,0/3,차이 · 우연확률 · 시기
229200,18일 → 말일+2,131,아래,48.85,-0.11,-14.44,47.18,1.68,0.7293,4,47.69,제외,0/3,차이 · 우연확률 · 시기
229200,18일 → 말일+3,130,아래,46.92,-0.23,-29.58,45.43,1.5,0.7203,4,44.62,제외,0/3,차이 · 우연확률 · 시기
229200,18일 → 말일-1,131,아래,48.85,0.16,21.06,48.53,0.32,1.0,4,47.69,제외,0/3,차이 · 우연확률 · 시기
229200,18일 → 말일-2,131,위,50.38,-0.39,-51.66,49.34,1.04,0.8571,4,50.0,제외,0/3,차이 · 우연확률 · 시기
229200,18일 → 말일-3,131,아래,50.38,0.27,35.4,49.19,1.19,0.7922,4,47.69,제외,0/3,차이 · 우연확률 · 시기
229200,19일 → 말일,131,아래,49.62,0.1,13.58,48.59,1.03,0.8292,4,46.67,제외,0/3,차이 · 우연확률 · 시기
229200,19일 → 말일+1,131,아래,51.91,-0.17,-21.75,47.03,4.88,0.2308,4,51.52,제외,0/3,차이 · 우연확률 · 시기
229200,19일 → 말일+2,131,아래,49.62,-0.16,-20.7,47.18,2.44,0.6124,4,47.69,제외,0/3,차이 · 우연확률 · 시기
229200,19일 → 말일+3,130,아래,49.23,-0.27,-35.06,45.43,3.8,0.3646,4,49.15,제외,0/3,차이 · 우연확률 · 시기
229200,19일 → 말일-1,131,아래,50.38,0.12,16.24,48.53,1.85,0.7253,4,50.0,제외,0/3,차이 · 우연확률 · 시기
229200,19일 → 말일-2,131,아래,55.73,0.36,46.94,50.18,5.55,0.2018,4,53.03,제외,0/3,차이 · 우연확률 · 시기
229200,19일 → 말일-3,131,아래,58.02,0.23,30.75,49.19,8.83,0.032,4,56.67,제외,2/3,차이
229200,20일 → 말일,131,아래,53.44,0.18,23.7,48.59,4.85,0.2777,4,51.52,제외,0/3,차이 · 우연확률 · 시기
229200,20일 → 말일+1,131,아래,52.67,-0.09,-12.16,47.03,5.64,0.1678,4,50.0,제외,0/3,차이 · 우연확률 · 시기
229200,20일 → 말일+2,131,아래,51.91,-0.09,-11.16,47.18,4.73,0.2937,4,51.52,제외,0/3,차이 · 우연확률 · 시기
229200,20일 → 말일+3,130,아래,46.92,-0.22,-28.46,45.43,1.5,0.7203,4,43.08,제외,0/3,차이 · 우연확률 · 시기
229200,20일 → 말일-1,131,아래,53.44,0.2,26.19,48.53,4.91,0.2677,4,51.52,제외,0/3,차이 · 우연확률 · 시기
229200,20일 → 말일-2,131,아래,54.96,0.43,56.28,50.18,4.79,0.2687,4,50.77,제외,0/3,차이 · 우연확률 · 시기
229200,20일 → 말일-3,130,아래,55.38,0.3,39.38,49.19,6.2,0.1349,4,54.62,제외,0/3,차이 · 우연확률 · 시기
229200,21일 → 말일,131,아래,54.2,-0.0,-0.47,48.59,5.61,0.2018,4,50.0,제외,0/3,차이 · 우연확률 · 시기
229200,21일 → 말일+1,131,아래,50.38,-0.28,-36.1,47.03,3.35,0.4116,4,43.94,제외,0/3,차이 · 우연확률 · 시기
229200,21일 → 말일+2,131,아래,51.15,-0.27,-35.19,47.18,3.97,0.3756,4,50.77,제외,0/3,차이 · 우연확률 · 시기
229200,21일 → 말일+3,130,위,54.62,0.36,46.84,54.42,0.19,1.0,4,52.31,제외,0/3,차이 · 우연확률 · 시기
229200,21일 → 말일-1,131,아래,49.62,0.02,2.1,48.53,1.09,0.8591,4,45.45,제외,0/3,차이 · 우연확률 · 시기
229200,21일 → 말일-2,130,아래,53.08,0.25,32.44,50.18,2.9,0.5155,4,47.69,제외,0/3,차이 · 우연확률 · 시기
229200,21일 → 말일-3,130,아래,53.08,0.12,15.3,49.19,3.89,0.3726,4,50.0,제외,0/3,차이 · 우연확률 · 시기
229200,22일 → 말일,131,아래,51.91,-0.07,-8.77,48.59,3.32,0.4615,4,48.33,제외,0/3,차이 · 우연확률 · 시기
229200,22일 → 말일+1,131,위,52.67,0.34,44.65,52.48,0.19,1.0,4,49.23,제외,0/3,차이 · 우연확률 · 시기
229200,22일 → 말일+2,131,아래,49.62,-0.34,-43.94,47.18,2.44,0.6124,4,49.23,제외,0/3,차이 · 우연확률 · 시기
229200,22일 → 말일+3,130,위,56.92,0.42,55.2,54.42,2.5,0.5874,4,55.38,제외,1/3,차이 · 우연확률
229200,22일 → 말일-1,131,위,53.44,0.05,6.06,51.14,2.3,0.5874,4,47.69,제외,0/3,차이 · 우연확률 · 시기
229200,22일 → 말일-2,130,아래,53.08,0.19,24.34,50.18,2.9,0.5155,4,49.23,제외,0/3,차이 · 우연확률 · 시기
229200,22일 → 말일-3,126,아래,50.0,0.06,6.98,49.19,0.81,0.8681,4,43.86,제외,0/3,차이 · 우연확률 · 시기
229200,23일 → 말일,131,위,53.44,0.27,34.81,51.02,2.41,0.5674,4,50.77,제외,0/3,차이 · 우연확률 · 시기
229200,23일 → 말일+1,131,위,55.73,0.54,70.98,52.48,3.24,0.4625,4,53.85,제외,0/3,차이 · 우연확률 · 시기
229200,23일 → 말일+2,131,아래,48.09,-0.52,-68.65,47.18,0.91,0.8791,4,46.15,제외,0/3,차이 · 우연확률 · 시기
229200,23일 → 말일+3,130,위,59.23,0.62,80.27,54.42,4.81,0.2677,4,57.98,제외,1/3,차이 · 우연확률
229200,23일 → 말일-1,131,위,51.91,0.25,33.12,51.14,0.77,0.8482,4,50.77,제외,0/3,차이 · 우연확률 · 시기
229200,23일 → 말일-2,129,위,50.39,0.01,1.76,49.34,1.04,0.8422,4,44.07,제외,0/3,차이 · 우연확률 · 시기
229200,23일 → 말일-3,121,위,51.24,0.16,19.19,50.26,0.98,0.9341,4,46.67,제외,0/3,차이 · 우연확률 · 시기
229200,24일 → 말일,131,위,56.49,0.31,41.14,51.02,5.47,0.2128,4,53.03,제외,0/3,차이 · 우연확률 · 시기
229200,24일 → 말일+1,131,위,54.2,0.6,78.52,52.48,1.71,0.7233,4,51.52,제외,0/3,차이 · 우연확률 · 시기
229200,24일 → 말일+2,131,위,54.2,0.59,76.83,52.37,1.83,0.6773,4,46.67,제외,0/3,차이 · 우연확률 · 시기
229200,24일 → 말일+3,130,위,55.38,0.69,89.94,54.42,0.96,0.8631,4,45.76,제외,0/3,차이 · 우연확률 · 시기
229200,24일 → 말일-1,130,위,57.69,0.3,38.91,51.14,6.55,0.1289,4,55.38,제외,1/3,차이 · 우연확률
229200,24일 → 말일-2,125,위,52.0,0.07,8.65,49.34,2.66,0.5794,4,46.03,제외,0/3,차이 · 우연확률 · 시기
229200,24일 → 말일-3,110,아래,49.09,-0.18,-19.35,49.19,-0.1,1.0,4,47.27,제외,0/3,차이 · 우연확률 · 시기
229200,25일 → 말일,131,위,56.49,0.26,34.13,51.02,5.47,0.2128,4,53.03,제외,0/3,차이 · 우연확률 · 시기
229200,25일 → 말일+1,131,위,54.96,0.54,71.15,52.48,2.48,0.5874,4,53.03,제외,0/3,차이 · 우연확률 · 시기
229200,25일 → 말일+2,131,위,53.44,0.53,69.47,52.37,1.06,0.8052,4,48.48,제외,0/3,차이 · 우연확률 · 시기
229200,25일 → 말일+3,130,위,55.38,0.65,83.98,54.42,0.96,0.8631,4,52.31,제외,0/3,차이 · 우연확률 · 시기
229200,25일 → 말일-1,128,위,57.03,0.25,31.56,51.14,5.89,0.1738,4,53.12,제외,0/3,차이 · 우연확률 · 시기
229200,25일 → 말일-2,120,위,52.5,0.08,9.73,49.34,3.16,0.5025,4,47.27,제외,0/3,차이 · 우연확률 · 시기
229200,25일 → 말일-3,84,위,57.14,0.21,18.01,50.26,6.89,0.2058,4,54.76,제외,0/3,차이 · 우연확률 · 시기
251340,15일 → 말일,121,위,49.59,0.13,15.62,46.2,3.38,0.4496,4,46.67,제외,0/3,차이 · 우연확률 · 시기
251340,15일 → 말일+1,121,위,45.45,-0.25,-30.09,43.69,1.76,0.7003,4,43.33,제외,0/3,차이 · 우연확률 · 시기
251340,15일 → 말일+2,121,위,48.76,-0.17,-20.34,44.5,4.26,0.3367,4,48.33,제외,0/3,차이 · 우연확률 · 시기
251340,15일 → 말일+3,120,위,45.83,-0.31,-37.15,42.82,3.01,0.5105,4,45.0,제외,0/3,차이 · 우연확률 · 시기
251340,15일 → 말일-1,121,위,46.28,0.13,16.29,45.7,0.58,0.9281,4,43.33,제외,0/3,차이 · 우연확률 · 시기
251340,15일 → 말일-2,121,아래,52.07,-0.43,-52.04,51.67,0.4,0.9281,4,46.67,제외,0/3,차이 · 우연확률 · 시기
251340,15일 → 말일-3,121,위,50.41,0.18,21.4,45.99,4.43,0.3417,4,48.33,제외,0/3,차이 · 우연확률 · 시기
251340,16일 → 말일,121,위,48.76,0.22,26.36,46.2,2.56,0.5714,4,48.33,제외,0/3,차이 · 우연확률 · 시기
251340,16일 → 말일+1,121,위,49.59,-0.16,-18.84,43.69,5.9,0.1868,4,46.67,제외,0/3,차이 · 우연확률 · 시기
251340,16일 → 말일+2,121,위,46.28,-0.08,-9.45,44.5,1.78,0.7093,4,45.83,제외,0/3,차이 · 우연확률 · 시기
251340,16일 → 말일+3,120,위,42.5,-0.22,-26.24,42.82,-0.32,1.0,4,41.67,제외,0/3,차이 · 우연확률 · 시기
251340,16일 → 말일-1,121,위,47.11,0.22,26.22,45.7,1.4,0.7682,4,45.0,제외,0/3,차이 · 우연확률 · 시기
251340,16일 → 말일-2,121,아래,55.37,-0.51,-61.79,51.67,3.71,0.3736,4,51.67,제외,0/3,차이 · 우연확률 · 시기
251340,16일 → 말일-3,121,위,51.24,0.26,31.5,45.99,5.25,0.2577,4,50.0,제외,0/3,차이 · 우연확률 · 시기
251340,17일 → 말일,121,위,50.41,0.22,27.2,46.2,4.21,0.3377,4,50.0,제외,0/3,차이 · 우연확률 · 시기
251340,17일 → 말일+1,121,위,48.76,-0.15,-17.62,43.69,5.07,0.2498,4,47.54,제외,0/3,차이 · 우연확률 · 시기
251340,17일 → 말일+2,121,위,44.63,-0.07,-8.34,44.5,0.13,1.0,4,42.62,제외,0/3,차이 · 우연확률 · 시기
251340,17일 → 말일+3,120,아래,57.5,0.21,25.43,56.4,1.1,0.8482,4,56.67,제외,1/3,차이 · 우연확률
251340,17일 → 말일-1,121,위,47.11,0.22,27.15,45.7,1.4,0.7682,4,46.67,제외,0/3,차이 · 우연확률 · 시기
251340,17일 → 말일-2,121,아래,54.55,-0.52,-63.11,51.67,2.88,0.5095,4,51.67,제외,0/3,차이 · 우연확률 · 시기
251340,17일 → 말일-3,121,위,50.41,0.27,33.15,45.99,4.43,0.3417,4,47.54,제외,0/3,차이 · 우연확률 · 시기
251340,18일 → 말일,121,위,51.24,0.13,15.25,46.2,5.04,0.2587,4,49.18,제외,0/3,차이 · 우연확률 · 시기
251340,18일 → 말일+1,121,위,47.11,-0.25,-30.09,43.69,3.42,0.4446,4,44.26,제외,0/3,차이 · 우연확률 · 시기
251340,18일 → 말일+2,121,위,47.93,-0.17,-20.18,44.5,3.43,0.4316,4,47.5,제외,0/3,차이 · 우연확률 · 시기
251340,18일 → 말일+3,120,위,45.0,-0.27,-32.74,42.82,2.18,0.6404,4,43.33,제외,0/3,차이 · 우연확률 · 시기
251340,18일 → 말일-1,121,위,47.11,0.12,14.95,45.7,1.4,0.7682,4,45.0,제외,0/3,차이 · 우연확률 · 시기
251340,18일 → 말일-2,121,위,47.93,0.42,50.77,47.0,0.93,0.9221,4,47.5,제외,0/3,차이 · 우연확률 · 시기
251340,18일 → 말일-3,121,위,51.24,0.17,20.87,45.99,5.25,0.2577,4,49.18,제외,0/3,차이 · 우연확률 · 시기
251340,19일 → 말일,121,위,52.07,0.09,10.5,46.2,5.86,0.1968,4,45.9,제외,0/3,차이 · 우연확률 · 시기
251340,19일 → 말일+1,121,위,49.59,-0.29,-34.86,43.69,5.9,0.1868,4,45.9,제외,0/3,차이 · 우연확률 · 시기
251340,19일 → 말일+2,121,위,47.93,-0.2,-23.64,44.5,3.43,0.4316,4,45.9,제외,0/3,차이 · 우연확률 · 시기
251340,19일 → 말일+3,120,위,45.0,-0.32,-37.81,42.82,2.18,0.6404,4,43.33,제외,0/3,차이 · 우연확률 · 시기
251340,19일 → 말일-1,121,위,47.11,0.08,9.91,45.7,1.4,0.7682,4,45.9,제외,0/3,차이 · 우연확률 · 시기
251340,19일 → 말일-2,121,위,51.24,0.38,45.69,47.0,4.24,0.3776,4,50.82,제외,0/3,차이 · 우연확률 · 시기
251340,19일 → 말일-3,121,위,54.55,0.13,15.64,45.99,8.56,0.0659,4,49.18,제외,0/3,차이 · 우연확률 · 시기
